Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_032859_sel_18_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_18.wav     ,3.3538       ,6.8977
pc_20170728_032859_sel_20_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_20.wav     ,0.63348      ,6.013
pc_20170728_032859_sel_44_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_44.wav     ,6.1786       ,11.1714
pc_20170728_033059_ch3_sel_01_setteac101_hawaii.csv       ,20170728_033059_ch3_sel_01.wav ,-0.29734     ,4.4029
pc_20170728_033159_ch4_sel_05_Sette_AC_101_Hawaii.csv     ,20170728_033159_ch4_sel_05.wav ,3.546        ,8.2875
pc_20170728_033759_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_033759_ch3_sel_09.wav ,1.4955       ,10.2104
pc_20170728_033759_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_033759_ch3_sel_12.wav ,2.8815       ,9.9449
pc_20170728_034059_ch3_sel_01_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_01.wav ,6.4843       ,27.3586
pc_20170728_034059_ch3_sel_02_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_02.wav ,7.7583       ,14.4266
pc_20170728_034059_ch3_sel_03_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_03.wav ,12.0427      ,14.2207
pc_20170728_034059_ch3_sel_04_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_04.wav ,14.5292      ,16.2285
pc_20170728_034059_ch3_sel_05_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_05.wav ,20.7904      ,21.0471
pc_20170728_034059_ch3_sel_06_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_06.wav ,18.7957      ,21.8955
pc_20170728_034059_ch3_sel_07_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_07.wav ,21.0384      ,14.6247
pc_20170728_034059_ch3_sel_08_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_08.wav ,22.3767      ,31.591
