Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_033759_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_033759_ch3_sel_12.wav ,3.396        ,9.9449
pc_20170728_034059_ch3_sel_01_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_01.wav ,15.5315      ,27.3586
pc_20170728_034059_ch3_sel_02_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_02.wav ,9.7231       ,14.4266
pc_20170728_034059_ch3_sel_03_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_03.wav ,13.6556      ,14.2207
pc_20170728_034059_ch3_sel_04_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_04.wav ,21.925       ,16.2285
pc_20170728_034059_ch3_sel_05_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_05.wav ,23.8367      ,21.0471
pc_20170728_034059_ch3_sel_06_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_06.wav ,22.695       ,21.8955
pc_20170728_034059_ch3_sel_07_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_07.wav ,25.0179      ,14.6247
pc_20170728_034059_ch3_sel_08_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_08.wav ,23.7995      ,31.591
pc_20170728_034059_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_09.wav ,30.053       ,19.5425
pc_20170728_034059_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_10.wav ,16.5951      ,14.9109
pc_20170728_034059_ch3_sel_11_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_11.wav ,16.3888      ,14.9521
pc_20170728_034059_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_12.wav ,20.5607      ,7.9927
pc_20170728_034059_ch3_sel_13_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_13.wav ,16.9911      ,9.1936
pc_20170728_034059_ch3_sel_14_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_14.wav ,25.024       ,9.3443
pc_20170728_034059_ch3_sel_16_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_16.wav ,31.6428      ,21.3025
pc_20170728_034059_ch3_sel_17_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_17.wav ,13.7726      ,12.4709
pc_20170728_034059_ch3_sel_18_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_18.wav ,20.8788      ,11.6321
pc_20170728_034059_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_19.wav ,25.7675      ,18.7026
pc_20170728_034059_ch3_sel_20_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_20.wav ,14.1107      ,2.6559
pc_20170728_034059_ch3_sel_21_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_21.wav ,10.9051      ,12.7995
pc_20170728_034059_ch3_sel_22_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_22.wav ,13.0987      ,13.6191
pc_20170728_034059_ch3_sel_23_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_23.wav ,17.3046      ,13.6175
pc_20170728_034059_ch3_sel_24_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_24.wav ,2.3482       ,10.048
